wavelength_nm,cie_v_lambda,bpw34_relative_response
492.4,0.23078,0.20071
492.61,0.23291,0.20107
492.82,0.23504,0.20143
493.02,0.23707,0.20178
493.23,0.2393,0.20214
493.44,0.24153,0.2025
493.64,0.24366,0.20284
493.85,0.24589,0.2032
494.06,0.24815,0.20356
494.26,0.25037,0.20391
494.47,0.25271,0.20427
494.67,0.25493,0.20461
494.88,0.25727,0.20497
495.09,0.25964,0.20534
495.29,0.26196,0.20568
495.5,0.26439,0.20604
495.71,0.26683,0.2064
495.91,0.26914,0.20674
496.12,0.27164,0.20711
496.33,0.27418,0.20747
496.53,0.2766,0.20781
496.74,0.27915,0.20817
496.94,0.28157,0.20852
497.15,0.28421,0.20888
497.36,0.28689,0.20924
497.56,0.28944,0.20958
497.77,0.29212,0.20994
497.98,0.2948,0.2103
498.18,0.29749,0.21065
498.39,0.30033,0.21101
498.59,0.30303,0.21135
498.8,0.30587,0.21171
499.01,0.30872,0.21207
499.21,0.31161,0.21242
499.42,0.31464,0.21278
499.63,0.31766,0.21314
499.83,0.32055,0.21348
500.04,0.32362,0.21385
500.24,0.3267,0.21419
500.45,0.32993,0.21455
500.66,0.33317,0.21491
500.86,0.33625,0.21525
501.07,0.33954,0.21562
501.27,0.3428,0.21596
501.48,0.34622,0.21632
501.69,0.34964,0.21668
501.89,0.35289,0.21703
502.1,0.35639,0.21739
502.3,0.35979,0.21773
502.51,0.36336,0.21809
502.72,0.36694,0.21845
502.92,0.37034,0.2188
503.13,0.37399,0.21916
503.33,0.3775,0.2195
503.54,0.3812,0.21986
503.74,0.38471,0.22021
503.95,0.38841,0.22057
504.16,0.39217,0.22093
504.36,0.39577,0.22127
504.57,0.39955,0.22163
504.77,0.40316,0.22198
504.98,0.40694,0.22234
505.18,0.4106,0.22268
505.39,0.41445,0.22304
505.6,0.4183,0.2234
505.8,0.42196,0.22375
506.01,0.42582,0.22411
506.21,0.42955,0.22445
506.42,0.43348,0.22481
506.62,0.43721,0.22516
506.83,0.44113,0.22552
507.04,0.44507,0.22588
507.24,0.44889,0.22622
507.45,0.4529,0.22658
507.65,0.45671,0.22693
507.86,0.46072,0.22729
508.06,0.46457,0.22763
508.27,0.46867,0.22799
508.47,0.47258,0.22834
508.68,0.47669,0.2287
508.88,0.48059,0.22904
509.09,0.48474,0.2294
509.3,0.48896,0.22976
509.5,0.49297,0.23011
509.71,0.49718,0.23047
509.91,0.50119,0.23081
510.12,0.50547,0.23117
510.32,0.50958,0.23152
510.53,0.5139,0.23188
510.73,0.51802,0.23222
510.94,0.52234,0.23258
511.14,0.5265,0.23293
511.35,0.5309,0.23329
511.55,0.53509,0.23363
511.76,0.53949,0.23399
511.96,0.54367,0.23434
512.17,0.54811,0.2347
512.37,0.55235,0.23504
512.58,0.5568,0.2354
512.78,0.56103,0.23575
512.99,0.56548,0.23611
513.2,0.56995,0.23647
513.4,0.5742,0.23681
513.61,0.57867,0.23717
513.81,0.58292,0.23752
514.02,0.58739,0.23788
514.22,0.59164,0.23822
514.43,0.5961,0.23858
514.63,0.60034,0.23893
514.84,0.6048,0.23929
515.04,0.60905,0.23963
515.25,0.61349,0.23999
515.45,0.61772,0.24034
515.66,0.62216,0.2407
515.86,0.62639,0.24104
516.07,0.63081,0.2414
516.27,0.63501,0.24175
516.47,0.6392,0.24209
516.68,0.6436,0.24245
516.88,0.64779,0.2428
517.09,0.65216,0.24316
517.29,0.65627,0.2435
517.5,0.66059,0.24386
517.7,0.6647,0.24421
517.91,0.66902,0.24457
518.11,0.67307,0.24491
518.32,0.67726,0.24527
518.52,0.68126,0.24562
518.73,0.68545,0.24598
518.93,0.68944,0.24632
519.14,0.69352,0.24668
519.34,0.69736,0.24702
519.55,0.70138,0.24739
519.75,0.70521,0.24773
519.96,0.70923,0.24809
520.16,0.71291,0.24843
520.36,0.71655,0.24878
520.57,0.72037,0.24914
520.77,0.724,0.24948
520.98,0.72782,0.24984
521.18,0.7313,0.25019
521.39,0.73492,0.25055
521.59,0.73838,0.25089
521.8,0.74201,0.25125
522,0.74546,0.2516
522.21,0.74893,0.25196
522.41,0.75223,0.2523
522.61,0.75553,0.25265
522.82,0.759,0.25301
523.02,0.76229,0.25335
523.23,0.76562,0.25371
523.43,0.76879,0.25406
523.64,0.77212,0.25442
523.84,0.7753,0.25476
524.04,0.77845,0.2551
524.25,0.78168,0.25547
524.45,0.78475,0.25581
524.66,0.78798,0.25617
524.86,0.79105,0.25651
525.07,0.79424,0.25688
525.27,0.79723,0.25722
525.47,0.80021,0.25756
525.68,0.80334,0.25792
525.88,0.80632,0.25827
526.09,0.80941,0.25863
526.29,0.81228,0.25897
526.49,0.81516,0.25932
526.7,0.81818,0.25968
526.9,0.82106,0.26002
527.11,0.82402,0.26038
527.31,0.82678,0.26073
527.52,0.82968,0.26109
527.72,0.83244,0.26143
527.92,0.8352,0.26178
528.13,0.83802,0.26214
528.33,0.84066,0.26248
528.54,0.84343,0.26284
528.74,0.84606,0.26318
528.94,0.8487,0.26353
529.15,0.85137,0.26389
529.35,0.85387,0.26423
529.55,0.85637,0.26458
529.76,0.859,0.26494
529.96,0.8615,0.26528
530.17,0.86401,0.26564
530.37,0.86637,0.26599
530.57,0.86873,0.26633
530.78,0.87121,0.26669
530.98,0.87357,0.26704
531.19,0.87593,0.2674
531.39,0.87816,0.26774
531.59,0.88039,0.26808
531.8,0.88273,0.26845
532,0.88496,0.26879
532.2,0.88707,0.26913
532.41,0.88928,0.26949
532.61,0.89139,0.26984
532.82,0.8936,0.2702
533.02,0.89569,0.27054
533.22,0.89768,0.27089
533.43,0.89977,0.27125
533.63,0.90176,0.27159
533.83,0.90375,0.27194
534.04,0.90582,0.2723
534.24,0.9077,0.27264
534.44,0.90958,0.27298
534.65,0.91156,0.27335
534.85,0.91344,0.27369
535.05,0.91529,0.27403
535.26,0.91716,0.27439
535.46,0.91894,0.27474
535.66,0.92071,0.27508
535.87,0.92258,0.27544
536.07,0.92432,0.27579
536.27,0.92599,0.27613
536.48,0.92775,0.27649
536.68,0.92942,0.27683
536.89,0.93117,0.2772
537.09,0.9328,0.27754
537.29,0.93436,0.27788
537.49,0.93593,0.27823
537.7,0.93757,0.27859
537.9,0.93914,0.27893
538.1,0.94065,0.27928
538.31,0.94219,0.27964
538.51,0.94365,0.27998
538.71,0.94511,0.28032
538.92,0.94664,0.28069
539.12,0.94804,0.28103
539.32,0.94939,0.28137
539.53,0.95082,0.28173
539.73,0.95217,0.28208
539.93,0.95353,0.28242
540.14,0.95488,0.28278
540.34,0.95613,0.28313
540.54,0.95738,0.28347
540.75,0.95869,0.28383
540.95,0.95994,0.28418
541.15,0.96112,0.28452
541.35,0.96227,0.28486
541.56,0.96348,0.28522
541.76,0.96463,0.28557
541.96,0.96578,0.28591
542.17,0.9669,0.28627
542.37,0.96795,0.28662
542.57,0.969,0.28696
542.78,0.9701,0.28732
542.98,0.97116,0.28767
543.18,0.97212,0.28801
543.38,0.97307,0.28835
543.59,0.97407,0.28871
543.79,0.97502,0.28906
543.99,0.97597,0.2894
544.2,0.97688,0.28976
544.4,0.97773,0.29011
544.6,0.97859,0.29045
544.8,0.97944,0.29079
545.01,0.98034,0.29116
545.21,0.9811,0.2915
545.41,0.98185,0.29184
545.61,0.98261,0.29219
545.82,0.98341,0.29255
546.02,0.98416,0.29289
546.22,0.98482,0.29324
546.43,0.98552,0.2936
546.63,0.98619,0.29394
546.83,0.98685,0.29428
547.03,0.98751,0.29463
547.24,0.98811,0.29499
547.44,0.98869,0.29533
547.64,0.98927,0.29568
547.84,0.98985,0.29602
548.05,0.99044,0.29638
548.25,0.99094,0.29673
548.45,0.99144,0.29707
548.65,0.99194,0.29741
548.86,0.99246,0.29777
549.06,0.99294,0.29812
549.26,0.99337,0.29846
549.46,0.9938,0.29881
549.67,0.99424,0.29917
549.87,0.99467,0.29951
550.07,0.99507,0.29985
550.27,0.99543,0.3002
550.47,0.99578,0.30054
550.68,0.99615,0.3009
550.88,0.9965,0.30125
551.08,0.99682,0.30159
551.28,0.9971,0.30193
551.49,0.99739,0.3023
551.69,0.99767,0.30264
551.89,0.99795,0.30298
552.09,0.99819,0.30333
552.29,0.99839,0.30367
552.5,0.99861,0.30403
552.7,0.99881,0.30438
552.9,0.99901,0.30472
553.1,0.99918,0.30506
553.31,0.99931,0.30542
553.51,0.99944,0.30577
553.71,0.99956,0.30611
553.91,0.99969,0.30646
554.11,0.99978,0.3068
554.32,0.99983,0.30716
554.52,0.99988,0.3075
554.72,0.99993,0.30785
554.92,0.99998,0.30819
555.12,0.99998,0.30854
555.33,0.99995,0.3089
555.53,0.99992,0.30924
555.73,0.9999,0.30958
555.93,0.99987,0.30993
556.13,0.99978,0.31027
556.34,0.99967,0.31063
556.54,0.99956,0.31098
556.74,0.99945,0.31132
556.94,0.99934,0.31167
557.14,0.99917,0.31201
557.34,0.99897,0.31235
557.55,0.99877,0.31271
557.75,0.99857,0.31306
557.95,0.99837,0.3134
558.15,0.99811,0.31375
558.35,0.99783,0.31409
558.55,0.99754,0.31443
558.76,0.99724,0.31479
558.96,0.99696,0.31514
559.16,0.99659,0.31548
559.36,0.99622,0.31583
559.56,0.99584,0.31617
559.76,0.99546,0.31651
559.97,0.99506,0.31687
560.17,0.99459,0.31722
560.37,0.99411,0.31756
560.57,0.99363,0.31791
560.77,0.99315,0.31825
560.97,0.99267,0.31859
561.18,0.99209,0.31895
561.38,0.99151,0.3193
561.58,0.99094,0.31964
561.78,0.99037,0.31999
561.98,0.9898,0.32033
562.18,0.98915,0.32067
562.38,0.98849,0.32102
562.59,0.9878,0.32138
562.79,0.98714,0.32172
562.99,0.98648,0.32207
563.19,0.98574,0.32241
563.39,0.98499,0.32275
563.59,0.98425,0.3231
563.79,0.98351,0.32344
563.99,0.98276,0.32379
564.2,0.9819,0.32415
564.4,0.98107,0.32449
564.6,0.98025,0.32483
564.8,0.97942,0.32518
565,0.9786,0.32552
565.2,0.9777,0.32587
565.4,0.97679,0.32621
565.6,0.97589,0.32655
565.81,0.97494,0.32691
566.01,0.97403,0.32726
566.21,0.97305,0.3276
566.41,0.97207,0.32795
566.61,0.97109,0.32829
566.81,0.9701,0.32863
567.01,0.96912,0.32898
567.21,0.96806,0.32932
567.41,0.96699,0.32966
567.62,0.96588,0.33003
567.82,0.96481,0.33037
568.02,0.96374,0.33071
568.22,0.9626,0.33106
568.42,0.96145,0.3314
568.62,0.96031,0.33174
568.82,0.95916,0.33209
569.02,0.95801,0.33243
569.22,0.95679,0.33278
